"","NYHAClass","variable","mean","sd","sem","n"
"277","II","StepData.MeanDailyStdDevSteps",11.9653479589071,3.55769721250626,0.60136058723709,35
"278","III","StepData.MeanDailyStdDevSteps",9.28802302757191,3.80098007941012,0.98140883645477,15
"280","II","StepData.ModeDailyStdDevSteps",8.62766854723626,6.46684288079387,1.09309595507275,35
"281","III","StepData.ModeDailyStdDevSteps",6.14303653190635,5.06888408278679,1.30878024243261,15
"283","II","StepData.MinimumDailyStdDevSteps",3.63022851837144,3.8132407418241,0.644555327451352,35
"284","III","StepData.MinimumDailyStdDevSteps",3.24257827463652,3.74283822397702,0.966396673934103,15
"286","II","StepData.StdDevDailyStdDevSteps",4.5832036734591,1.82478777746719,0.308445430820597,35
"287","III","StepData.StdDevDailyStdDevSteps",3.47457660604428,1.400197407112,0.361529415943172,15
"289","II","StepData.StdErrDailyStdDevSteps",1.14685135426205,0.427009449916398,0.0721777706812255,35
"290","III","StepData.StdErrDailyStdDevSteps",0.873359882235292,0.35155790383436,0.0907718604518711,15
"292","II","StepData.MaximumDailyStdErrSteps",0.519612772419292,0.120836501282144,0.0204250966370223,35
"293","III","StepData.MaximumDailyStdErrSteps",0.397767614366062,0.113856128577018,0.0293975259894962,15
"295","II","StepData.MeanDailyStdErrSteps",0.315314604554944,0.0937535534729321,0.0158472429227132,35
"296","III","StepData.MeanDailyStdErrSteps",0.244760897726835,0.100164619932197,0.0258623936584397,15
"298","II","StepData.ModeDailyStdErrSteps",0.227359029218855,0.170416273114611,0.0288056076595581,35
"299","III","StepData.ModeDailyStdErrSteps",0.161883226587047,0.133576824141498,0.0344893876892865,15
"301","II","StepData.MinimumDailyStdErrSteps",0.0956649212079348,0.100487716755952,0.0169855242728494,35
"302","III","StepData.MinimumDailyStdErrSteps",0.0854494403269199,0.0986324475108901,0.025466788440357,15
"304","II","StepData.StdDevDailyStdErrSteps",0.120778021571511,0.0480873801936066,0.00812825079387488,35
"305","III","StepData.StdDevDailyStdErrSteps",0.0915631331653124,0.0368984415027997,0.00952713662942344,15
"307","II","StepData.StdErrDailyStdErrSteps",0.0302221868093062,0.0112526870345951,0.0019020512648833,35
"308","III","StepData.StdErrDailyStdErrSteps",0.0230150537073329,0.00926436421292517,0.00239204855399061,15
"310","II","StepData.MaximumDailyQ1Steps",0,0,0,35
"311","III","StepData.MaximumDailyQ1Steps",0,0,0,15
"313","II","StepData.MeanDailyQ1Steps",0,0,0,35
"314","III","StepData.MeanDailyQ1Steps",0,0,0,15
"316","II","StepData.ModeDailyQ1Steps",0,0,0,35
"317","III","StepData.ModeDailyQ1Steps",0,0,0,15
"319","II","StepData.MinimumDailyQ1Steps",0,0,0,35
"320","III","StepData.MinimumDailyQ1Steps",0,0,0,15
"322","II","StepData.StdDevDailyQ1Steps",0,0,0,35
"323","III","StepData.StdDevDailyQ1Steps",0,0,0,15
"325","II","StepData.StdErrDailyQ1Steps",0,0,0,35
"326","III","StepData.StdErrDailyQ1Steps",0,0,0,15
"328","II","StepData.MaximumDailyMinimumSteps",0,0,0,35
"329","III","StepData.MaximumDailyMinimumSteps",0,0,0,15
"331","II","StepData.MeanDailyMinimumSteps",0,0,0,35
"332","III","StepData.MeanDailyMinimumSteps",0,0,0,15
"334","II","StepData.ModeDailyMinimumSteps",0,0,0,35
"335","III","StepData.ModeDailyMinimumSteps",0,0,0,15
"337","II","StepData.MinimumDailyMinimumSteps",0,0,0,35
"338","III","StepData.MinimumDailyMinimumSteps",0,0,0,15
"340","II","StepData.StdDevDailyMinimumSteps",0,0,0,35
"341","III","StepData.StdDevDailyMinimumSteps",0,0,0,15
"343","II","StepData.StdErrDailyMinimumSteps",0,0,0,35
"344","III","StepData.StdErrDailyMinimumSteps",0,0,0,15
"346","II","StepData.MaximumDailyModeSteps",0,0,0,35
"347","III","StepData.MaximumDailyModeSteps",0,0,0,15
"349","II","StepData.MeanDailyModeSteps",0,0,0,35
"350","III","StepData.MeanDailyModeSteps",0,0,0,15
"352","II","StepData.ModeDailyModeSteps",0,0,0,35
"353","III","StepData.ModeDailyModeSteps",0,0,0,15
"355","II","StepData.MinimumDailyModeSteps",0,0,0,35
"356","III","StepData.MinimumDailyModeSteps",0,0,0,15
"358","II","StepData.StdDevDailyModeSteps",0,0,0,35
"359","III","StepData.StdDevDailyModeSteps",0,0,0,15
"361","II","StepData.StdErrDailyModeSteps",0,0,0,35
"362","III","StepData.StdErrDailyModeSteps",0,0,0,15
"364","II","StepData.MaximumDailySkewness",12.6012581923813,10.0150493679314,2.04431339168459,24
"365","III","StepData.MaximumDailySkewness",11.6769408443396,8.26219139354319,2.61273432678371,10
"367","II","StepData.MeanDailySkewness",5.26276761087132,1.34841837716445,0.275244748653722,24
"368","III","StepData.MeanDailySkewness",5.60022643621149,1.80478314966455,0.570722543563253,10
"370","II","StepData.ModeDailySkewness",7.59587505695701,7.42985759526843,1.35650020132654,30
"371","III","StepData.ModeDailySkewness",10.870971235485,10.9725994715479,3.16751662930406,12
"373","II","StepData.MinimumDailySkewness",3.34225332065373,0.758947162136312,0.154919440747275,24
"374","III","StepData.MinimumDailySkewness",3.59265340183667,1.11904584905045,0.35387336891564,10
"376","II","StepData.StdDevDailySkewness",2.35695392054037,2.37331835320522,0.484451580211272,24
"377","III","StepData.StdDevDailySkewness",2.01865762057644,1.87874626334939,0.594111733771459,10
"379","II","StepData.StdErrDailySkewness",0.599896565869769,0.594113616240184,0.121272934085679,24
"380","III","StepData.StdErrDailySkewness",0.50765640450885,0.457321639895282,0.144617800535242,10
"382","II","StepData.MaximumDailyKurtosis",272.453803232431,410.700836316655,83.8339571591767,24
"383","III","StepData.MaximumDailyKurtosis",216.470791871768,285.746277303968,90.3609069194617,10
"385","II","StepData.MeanDailyKurtosis",44.2520645931932,32.3607513187192,6.60561070199666,24
"386","III","StepData.MeanDailyKurtosis",46.4908862950894,32.3665969595207,10.2352166500766,10
"388","II","StepData.ModeDailyKurtosis",115.915570125176,280.583706709948,51.2273418111506,30
"389","III","StepData.ModeDailyKurtosis",236.109613482419,448.693821523878,129.526749320267,12
"391","II","StepData.MinimumDailyKurtosis",12.2876597119261,7.70019021805023,1.57179474638278,24
"392","III","StepData.MinimumDailyKurtosis",14.7364212814534,9.15535112445094,2.89517623318486,10
"394","II","StepData.StdDevDailyKurtosis",65.6166051679431,101.16127341991,20.6494584674128,24
"395","III","StepData.StdDevDailyKurtosis",49.5529894817432,68.7507159069535,21.7408853033142,10
"397","II","StepData.StdErrDailyKurtosis",16.5828138000899,25.4702405831573,5.19909108788865,24
"398","III","StepData.StdErrDailyKurtosis",12.3447132965138,16.9363365443071,5.35573986991555,10
"400","II","StepData.TotalActiveMinutes_Pure",2971.51428571429,888.384898414585,150.16445534633,35
"401","III","StepData.TotalActiveMinutes_Pure",2438.93333333333,1097.91714927251,283.480988976529,15
"403","II","StepData.MeanActiveMinutes_Pure",193.154442009824,66.7713594192159,11.2864197014315,35
"404","III","StepData.MeanActiveMinutes_Pure",158.133822055138,73.1219267412283,18.8800003007584,15
"406","II","StepData.StdDevActiveMinutes_Pure",74.7705033620568,34.7339638823668,5.87111147175378,35
"407","III","StepData.StdDevActiveMinutes_Pure",66.2393455257541,34.2484366169393,8.84290831006974,15
"409","II","StepData.ModeActiveMinutes_Pure",161.857142857143,121.030900978207,20.4579561830715,35
"410","III","StepData.ModeActiveMinutes_Pure",118.466666666667,114.764271858615,29.6320075765358,15
"412","II","StepData.MaxActiveMinutes_Pure",306.2,89.7430318448507,15.1693410391825,35
"413","III","StepData.MaxActiveMinutes_Pure",268.466666666667,108.556678196011,28.02921378485,15
"415","II","StepData.TotalActiveMinutes_PosMET",772.114285714286,516.281658845735,87.2675281223539,35
"416","III","StepData.TotalActiveMinutes_PosMET",456.266666666667,328.03537846368,84.6983705171119,15
"418","II","StepData.MeanActiveMinutes_PosMET",50.3916283075954,36.1944750433116,6.11798291610399,35
"419","III","StepData.MeanActiveMinutes_PosMET",29.466017330909,21.0599031867974,5.43764362101378,15
"421","II","StepData.StdDevActiveMinutes_PosMET",28.5937466707554,16.4423988161041,2.77927266347471,35
"422","III","StepData.StdDevActiveMinutes_PosMET",17.8464390552177,12.2573261241944,3.16482799653588,15
"424","II","StepData.ModeActiveMinutes_PosMET",36.2285714285714,43.9351699628426,7.42639916526339,35
"425","III","StepData.ModeActiveMinutes_PosMET",20.1333333333333,20.2902744706728,5.23892634099289,15
"427","II","StepData.MaxActiveMinutes_PosMET",108.085714285714,62.0902433505276,10.4951666689655,35
"428","III","StepData.MaxActiveMinutes_PosMET",67,45.7337012341165,11.8083908826773,15
"430","II","StepData.TotalMETClass.BelowMin",22309.0285714286,4666.72574778527,788.820624278368,35
"431","III","StepData.TotalMETClass.BelowMin",22295.7333333333,2895.46883612177,747.606838784147,15
"433","II","StepData.MeanMETClass.BelowMin",1389.60837169241,36.1944750433113,6.11798291610392,35
"434","III","StepData.MeanMETClass.BelowMin",1410.53398266909,21.0599031867983,5.43764362101401,15
"436","II","StepData.StdDevMETClass.BelowMin",28.5937466707554,16.4423988161041,2.77927266347471,35
"437","III","StepData.StdDevMETClass.BelowMin",17.8464390552177,12.2573261241944,3.16482799653588,15
"439","II","StepData.ModeMETClass.BelowMin",1403.77142857143,43.9351699628426,7.42639916526339,35
"440","III","StepData.ModeMETClass.BelowMin",1419.86666666667,20.2902744706728,5.23892634099289,15
"442","II","StepData.MaxMETClass.BelowMin",1431.22857142857,16.2518518660376,2.74706435035985,35
"443","III","StepData.MaxMETClass.BelowMin",1435.06666666667,7.9053929753832,2.04116368925895,15
"445","II","StepData.OverallMETClass.BelowMin.PercentageAll",0.965005813675281,0.0251350521134108,0.00424859924729442,35
"446","III","StepData.OverallMETClass.BelowMin.PercentageAll",0.979537487964647,0.0146249327686092,0.00377614140348178,15
"448","II","StepData.TotalMETClassNegligible",347.914285714286,324.058851901623,54.7759434934191,35
"449","III","StepData.TotalMETClassNegligible",218.133333333333,182.888282318807,47.2215514424814,15
"451","II","StepData.MeanMETClassNegligible",22.7159150507258,22.2077008840894,3.75378657798527,35
"452","III","StepData.MeanMETClassNegligible",13.8155764820548,10.6911301581203,2.76043793696905,15
"454","II","StepData.StdDevMETClassNegligible",11.8511637699685,9.92874255400937,1.67826380272502,35
"455","III","StepData.StdDevMETClassNegligible",7.80248305636603,5.3440455397106,1.37982662511154,15
"457","II","StepData.ModeMETClassNegligible",17.7428571428571,21.5520476127564,3.64296094760654,35
"458","III","StepData.ModeMETClassNegligible",10.4,11.9809372397512,3.09346469343418,15
"460","II","StepData.MaxMETClassNegligible",45.2857142857143,37.8523225090315,6.39821028397279,35
"461","III","StepData.MaxMETClassNegligible",29.6,19.5331220531398,5.04343042741649,15
"463","II","StepData.OverallMETClassNegligible.Percentage",0.47480999747576,0.119635134429259,0.0202220285755813,35
"464","III","StepData.OverallMETClassNegligible.Percentage",0.550071092500309,0.145584536255764,0.0375897656255935,15
"466","II","StepData.OverallMETClassNegligible.PercentageAll",0.0157749410074485,0.0154220145028398,0.00260679623471199,35
"467","III","StepData.OverallMETClassNegligible.PercentageAll",0.00959415033476028,0.00742439594313909,0.00191697078956184,15
"469","II","StepData.TotalMETClassSedentary",117.628571428571,71.4970528863153,12.0852076894838,35
"470","III","StepData.TotalMETClassSedentary",69.4,47.0832090179564,12.1568322941699,15
"472","II","StepData.MeanMETClassSedentary",7.65243178853238,4.87989191239582,0.824852282475321,35
"473","III","StepData.MeanMETClassSedentary",4.47674267367766,2.97146887090419,0.767229963385712,15
"475","II","StepData.StdDevMETClassSedentary",5.58777011065375,3.58653416247967,0.606234921429774,35
"476","III","StepData.StdDevMETClassSedentary",3.38033496038831,1.58475330899167,0.40918154490479,15
"478","II","StepData.ModeMETClassSedentary",5.48571428571429,5.65358516430805,0.955630311216993,35
"479","III","StepData.ModeMETClassSedentary",3.2,3.48875745379764,0.900793301167683,15
"481","II","StepData.MaxMETClassSedentary",20.1428571428571,13.6751015850466,2.31151405768937,35
"482","III","StepData.MaxMETClassSedentary",12,5.87974732207334,1.51814423055318,15
"484","II","StepData.OverallMETClassSedentary.Percentage",0.170825192986928,0.0625239559949353,0.0105684774863156,35
"485","III","StepData.OverallMETClassSedentary.Percentage",0.16100165174086,0.0486979181195894,0.0125737483914762,15
"487","II","StepData.OverallMETClassSedentary.PercentageAll",0.00531418874203638,0.00338881382805266,0.000572814085052307,35
"488","III","StepData.OverallMETClassSedentary.PercentageAll",0.00310884907894282,0.00206352004923902,0.000532798585684522,15
"490","II","StepData.TotalMETClassVeryLight",56.4285714285714,40.4106026523076,6.83063855354825,35
"491","III","StepData.TotalMETClassVeryLight",35.8,26.9820045850669,6.96672362701709,15
"493","II","StepData.MeanMETClassVeryLight",3.63484886365039,2.58409264651936,0.436791378963702,35
"494","III","StepData.MeanMETClassVeryLight",2.33180238177142,1.77437921103335,0.458142742279255,15
"496","II","StepData.StdDevMETClassVeryLight",3.36667658233391,2.43063735869345,0.41085270108037,35
"497","III","StepData.StdDevMETClassVeryLight",2.27061349841684,1.51763757115341,0.391852335910389,15
"499","II","StepData.ModeMETClassVeryLight",1.71428571428571,2.56184019995082,0.433030028984597,35
