"","ExplicitNYHAClass","variable","mean","sd","sem","n"
"438","II/III","StepData.OverallMETClassIV.PercentageAll",0.0173630259395425,0.0125681019350649,0.00628405096753247,4
"439","III","StepData.OverallMETClassIV.PercentageAll",0.0132165905082572,0.00968448867537008,0.00291998320205896,11
"441","I/II","StepData.TotalMETClassIII",228.444444444444,185.0683057084,61.6894352361333,9
"442","II","StepData.TotalMETClassIII",253.153846153846,162.964215043105,31.9599120200817,26
"443","II/III","StepData.TotalMETClassIII",88.75,42.1297598695586,21.0648799347793,4
"444","III","StepData.TotalMETClassIII",147.818181818182,190.08409622155,57.3125114346087,11
"446","I/II","StepData.MeanMETClassIII",15.7748990531885,13.4131725068793,4.4710575022931,9
"447","II","StepData.MeanMETClassIII",16.3105659653414,11.5143996179653,2.25815955151193,26
"448","II/III","StepData.MeanMETClassIII",5.83442752100841,2.62254918468555,1.31127459234278,4
"449","III","StepData.MeanMETClassIII",9.86165698336751,13.4239946002394,4.04748666152283,11
"451","I/II","StepData.StdDevMETClassIII",11.4520529628641,5.54580750432453,1.84860250144151,9
"452","II","StepData.StdDevMETClassIII",14.0621306910795,7.07551421957976,1.38762250285925,26
"453","II/III","StepData.StdDevMETClassIII",5.96324744671349,2.09750221626739,1.0487511081337,4
"454","III","StepData.StdDevMETClassIII",8.927728243598,10.1787159026439,3.06899831788122,11
"456","I/II","StepData.ModeMETClassIII",13.6666666666667,17.0367250374008,5.67890834580027,9
"457","II","StepData.ModeMETClassIII",8.69230769230769,12.1384322901081,2.38054242737253,26
"458","II/III","StepData.ModeMETClassIII",1.75,3.5,1.75,4
"459","III","StepData.ModeMETClassIII",4.36363636363636,7.13123730179731,2.15014894736801,11
"461","I/II","StepData.MaxMETClassIII",39.6666666666667,20.174241001832,6.72474700061067,9
"462","II","StepData.MaxMETClassIII",49.0769230769231,25.0486296262659,4.91244043281108,26
"463","II/III","StepData.MaxMETClassIII",19.25,7.18215380880508,3.59107690440254,4
"464","III","StepData.MaxMETClassIII",28.5454545454545,31.0591810463948,9.36469543878267,11
"466","I/II","StepData.OverallMETClassIII.Percentage",0.226257808557273,0.0968785668071803,0.0322928556023934,9
"467","II","StepData.OverallMETClassIII.Percentage",0.299963168581298,0.126849225241791,0.0248771797996931,26
"468","II/III","StepData.OverallMETClassIII.Percentage",0.178224894848072,0.0445418871064999,0.02227094355325,4
"469","III","StepData.OverallMETClassIII.Percentage",0.236575519477811,0.173060969313339,0.052179845551596,11
"471","I/II","StepData.OverallMETClassIII.PercentageAll",0.0109547910091587,0.0093147031297773,0.0031049010432591,9
"472","II","StepData.OverallMETClassIII.PercentageAll",0.011326781920376,0.00799611084580921,0.00156816635521662,26
"473","II/III","StepData.OverallMETClassIII.PercentageAll",0.00405168577847806,0.00182121471158719,0.000910607355793594,4
"474","III","StepData.OverallMETClassIII.PercentageAll",0.00684837290511632,0.00932221847238849,0.00281075462605752,11
"476","I/II","StepData.TotalMETClassII",6.22222222222222,17.5697024574819,5.85656748582729,9
"477","II","StepData.TotalMETClassII",2.19230769230769,4.93979133785411,0.968772785569027,26
"478","II/III","StepData.TotalMETClassII",0,0,0,4
"479","III","StepData.TotalMETClassII",1.18181818181818,3.91964747951093,1.18181818181818,11
"481","I/II","StepData.MeanMETClassII",0.391865079365079,1.09752849926065,0.365842833086885,9
"482","II","StepData.MeanMETClassII",0.144341623288992,0.327848480195203,0.0642963768468106,26
"483","II/III","StepData.MeanMETClassII",0,0,0,4
"484","III","StepData.MeanMETClassII",0.0738636363636364,0.244977967469433,0.0738636363636364,11
"486","I/II","StepData.StdDevMETClassII",0.554087451597844,1.45779008115314,0.485930027051045,9
"487","II","StepData.StdDevMETClassII",0.298817694894084,0.586895430334383,0.115099663527441,26
"488","II/III","StepData.StdDevMETClassII",0,0,0,4
"489","III","StepData.StdDevMETClassII",0.125172057892866,0.415148750267282,0.125172057892866,11
"491","I/II","StepData.ModeMETClassII",0,0,0,9
"492","II","StepData.ModeMETClassII",0,0,0,26
"493","II/III","StepData.ModeMETClassII",0,0,0,4
"494","III","StepData.ModeMETClassII",0,0,0,11
"496","I/II","StepData.MaxMETClassII",1.44444444444444,3.64386851817924,1.21462283939308,9
"497","II","StepData.MaxMETClassII",1,1.97989898732233,0.38829013735766,26
"498","II/III","StepData.MaxMETClassII",0,0,0,4
"499","III","StepData.MaxMETClassII",0.363636363636364,1.20604537831105,0.363636363636364,11
"501","I/II","StepData.OverallMETClassII.Percentage",0.00767458643844196,0.0223102430401015,0.00743674768003384,9
"502","II","StepData.OverallMETClassII.Percentage",0.0027754995939812,0.00616317412950807,0.00120869789046276,26
"503","II/III","StepData.OverallMETClassII.Percentage",0,0,0,4
"504","III","StepData.OverallMETClassII.Percentage",0.00135749253149316,0.00450229338267253,0.00135749253149316,11
"506","I/II","StepData.OverallMETClassII.PercentageAll",0.00027212852733686,0.000762172568931009,0.000254057522977003,9
"507","II","StepData.OverallMETClassII.PercentageAll",0.000100237238395133,0.000227672555691113,4.4650261699174e-05,26
"508","II/III","StepData.OverallMETClassII.PercentageAll",0,0,0,4
"509","III","StepData.OverallMETClassII.PercentageAll",5.12941919191919e-05,0.000170123588520439,5.12941919191919e-05,11
"511","I/II","StepData.TotalMETClassI",0,0,0,9
"512","II","StepData.TotalMETClassI",0.153846153846154,0.784464540552736,0.153846153846154,26
"513","II/III","StepData.TotalMETClassI",0,0,0,4
"514","III","StepData.TotalMETClassI",0,0,0,11
"516","I/II","StepData.MeanMETClassI",0,0,0,9
"517","II","StepData.MeanMETClassI",0.0102564102564103,0.0522976360368491,0.0102564102564103,26
"518","II/III","StepData.MeanMETClassI",0,0,0,4
"519","III","StepData.MeanMETClassI",0,0,0,11
"521","I/II","StepData.StdDevMETClassI",0,0,0,9
"522","II","StepData.StdDevMETClassI",0.0228314169117178,0.116417840355822,0.0228314169117178,26
"523","II/III","StepData.StdDevMETClassI",0,0,0,4
"524","III","StepData.StdDevMETClassI",0,0,0,11
"526","I/II","StepData.ModeMETClassI",0,0,0,9
"527","II","StepData.ModeMETClassI",0,0,0,26
"528","II/III","StepData.ModeMETClassI",0,0,0,4
"529","III","StepData.ModeMETClassI",0,0,0,11
"531","I/II","StepData.MaxMETClassI",0,0,0,9
"532","II","StepData.MaxMETClassI",0.0769230769230769,0.392232270276368,0.0769230769230769,26
"533","II/III","StepData.MaxMETClassI",0,0,0,4
"534","III","StepData.MaxMETClassI",0,0,0,11
"536","I/II","StepData.OverallMETClassI.Percentage",0,0,0,9
"537","II","StepData.OverallMETClassI.Percentage",0.000219839157892255,0.00112096415594442,0.000219839157892255,26
"538","II/III","StepData.OverallMETClassI.Percentage",0,0,0,4
"539","III","StepData.OverallMETClassI.Percentage",0,0,0,11
"541","I/II","StepData.OverallMETClassI.PercentageAll",0,0,0,9
"542","II","StepData.OverallMETClassI.PercentageAll",7.12250712250712e-06,3.63178028033674e-05,7.12250712250712e-06,26
"543","II/III","StepData.OverallMETClassI.PercentageAll",0,0,0,4
"544","III","StepData.OverallMETClassI.PercentageAll",0,0,0,11
"546","I/II","BMI",26.5930009459643,7.08557648383225,2.36185882794408,9
"547","II","BMI",28.9999204566131,6.07549644422914,1.191502881688,26
"548","II/III","BMI",28.410432258151,7.5223750244134,3.7611875122067,4
"549","III","BMI",30.8779638357717,6.66056478059197,2.00823584264358,11
