"","variable","mean","sd","sem","n","NYHAClass.r","PureNYHAClass.r","ExplicitNYHAClass.r","NYHAClass.r2","PureNYHAClass.r2","ExplicitNYHAClass.r2","NYHAClass.p","PureNYHAClass.p","ExplicitNYHAClass.p"
"43","StepData.MaxMETClassIII",40.48,26.35723190074,3.72747548206393,50,-0.361628959991352,-0.3375885442405,-0.257611720473397,0.130775504704427,0.11396602520242,0.0663637985252637,0.00986842465417803,0.0410113166309301,0.070897103438315
"44","StepData.MaxMETClassIV",63.52,49.2988553909433,6.9719109903342,50,-0.250217790349549,-0.278821476536761,-0.261094249149662,0.0626089426074111,0.0777414157781395,0.0681702069390258,0.0796786648529546,0.0946982037927602,0.067036382353588
"45","StepData.MeanActiveMinutes_PosMET",44.1139450145895,33.6089111909578,4.75301780228454,50,-0.28821747798021,-0.276377963370026,-0.298058911315576,0.083069314613273,0.0763847786365636,0.0888391146146264,0.0423815126079641,0.0977478046134819,0.0355240851667791
"46","StepData.MeanActiveMinutes_Pure",182.648256023418,69.8860847775877,9.88338489136204,50,-0.231968881671722,-0.270381284730813,-0.244179630094303,0.0538095620640292,0.073106039132685,0.0596236917529904,0.105022634477556,0.105549667400741,0.0874667723305034
"47","StepData.MeanDailyMaxSteps",91.0636538042044,19.5348255639762,2.76264152511678,50,-0.355939258379545,-0.328260586287195,-0.33218330963506,0.126692755655781,0.107755012509613,0.110345751200102,0.0111840050884426,0.0473064493544626,0.0184312383351568
"48","StepData.MeanDailyMeanSteps",3.50165036888536,1.60738045420297,0.227317923822727,50,-0.294365664570412,-0.32194301811188,-0.28660812386486,0.0866511444779804,0.103647306910986,0.0821442166653347,0.0379813794132238,0.0519949856498272,0.0435997776346455
"49","StepData.MeanDailyMinSteps",0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","StepData.MeanDailyTotalSteps",5042.37653119491,2314.62785405228,327.337810304727,50,-0.29436566457041,-0.321943018111881,-0.286608123864857,0.086651144477979,0.103647306910987,0.0821442166653331,0.0379813794132253,0.0519949856498267,0.0435997776346475
"51","StepData.MeanMETClass.BelowMin",1395.88605498541,33.6089111909576,4.75301780228451,50,0.28821747798028,0.276377963370183,0.29805891131564,0.0830693146133132,0.0763847786366504,0.0888391146146647,0.0423815126079119,0.0977478046132836,0.0355240851667373
"52","StepData.MeanMETClassI",0.00533333333333334,0.0377123616632826,0.00533333333333334,50,-0.0935219529582824,-0.108407272597998,-0.0479894853106398,0.00874635568513119,0.0117521367521368,0.00230299070038011,0.518284502839568,0.523038010639135,0.740686132003612
"53","StepData.MeanMETClassII",0.16184335839599,0.526790048276915,0.0744993630796391,50,-0.135170746196157,-0.10744772346192,-0.176314944865221,0.018271130627226,0.0115450132771493,0.031086959782826,0.349308431836632,0.52674463791308,0.220641476832274
"54","StepData.MeanMETClassIII",13.957294869573,12.1207100165111,1.71412724909414,50,-0.282049004513301,-0.243134876107795,-0.228836332688806,0.0795516409469438,0.059114567979953,0.0523660671584619,0.0472072237889176,0.147049405177929,0.109935767428348
"55","StepData.MeanMETClassIV",29.9894734532872,25.9710534373011,3.67286160001477,50,-0.238469644840993,-0.231700292542358,-0.275271309746118,0.0568677715105893,0.0536850255642144,0.0757742939693435,0.0953669099539836,0.167627911984953,0.0530159275352731
"56","StepData.ModeActiveMinutes_PosMET",31.4,38.8912665291952,5.50005565834546,50,-0.191576364940572,-0.0985522238651955,-0.168243787100788,0.0367015036038432,0.00971254082877562,0.0283059718980154,0.182607493718252,0.561705502771325,0.242838605999925
"57","StepData.ModeActiveMinutes_Pure",148.84,119.711278516611,16.9297313647214,50,-0.167786091225611,-0.126908696085941,-0.210809593876979,0.028152172408769,0.0161058171422338,0.0444406848705766,0.244141311456841,0.45416206455184,0.14169249000926
"58","StepData.ModeDailyMaxSteps",87.1,40.957543971328,5.79227141657444,50,-0.301930001987745,-0.297187532480777,-0.319073405529875,0.0911617261003199,0.0883204294620128,0.101807838116432,0.0330909473684724,0.0740541248428619,0.0239134772036327
"59","StepData.ModeDailyMinSteps",0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","StepData.ModeDailyModeSteps",0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","StepData.ModeMETClass.BelowMin",1408.6,38.8912665291952,5.50005565834546,50,0.191576364940572,0.0985522238651901,0.168243787100782,0.0367015036038432,0.00971254082877455,0.0283059718980134,0.182607493718252,0.561705502771347,0.242838605999942
"62","StepData.ModeMETClassI",0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","StepData.ModeMETClassII",0,0,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","StepData.ModeMETClassIII",8.08,12.082775731915,1.70876253111868,50,-0.241545296594846,-0.182745257266711,-0.259961961497174,0.0583441303070921,0.0333958290534762,0.0675802214254581,0.0910455191699171,0.278989626404768,0.0682727992114165
"65","StepData.ModeMETClassIV",23.62,29.8628770980197,4.22324858035003,50,-0.275035351020137,-0.206323766038692,-0.258371715225317,0.0756444443107701,0.042569496432389,0.0667559432284724,0.0532281209419652,0.220508297801999,0.0700398664819695
"66","StepData.OverallMETClass.BelowMin.PercentageAll",0.969365315962091,0.0233395216603873,0.00330070680714204,50,0.288217477980302,0.276377963370057,0.298058911315684,0.0830693146133261,0.0763847786365807,0.0888391146146906,0.042381512607895,0.0977478046134428,0.0355240851667094
"67","StepData.OverallMETClassI.Percentage",0.000114316362103973,0.00080833874844296,0.000114316362103973,50,-0.0935219529582825,-0.108407272597999,-0.0479894853106398,0.0087463556851312,0.0117521367521368,0.00230299070038011,0.518284502839567,0.523038010639135,0.740686132003612
"68","StepData.OverallMETClassI.PercentageAll",3.7037037037037e-06,2.61891400439462e-05,3.7037037037037e-06,50,-0.0935219529582825,-0.108407272597999,-0.0479894853106398,0.0087463556851312,0.0117521367521368,0.00230299070038011,0.518284502839568,0.523038010639135,0.740686132003612
"69","StepData.OverallMETClassII.Percentage",0.00312333370471827,0.0104950831169307,0.00148422888821963,50,-0.13407613706082,-0.115362293896706,-0.175554776100922,0.0179764105291518,0.0133084588531099,0.030819479411845,0.353260878154281,0.496560129648176,0.222669811867889
"70","StepData.OverallMETClassII.PercentageAll",0.000112391221108326,0.000365826422414524,5.17356688053049e-05,50,-0.135170746196157,-0.10744772346192,-0.176314944865221,0.0182711306272259,0.0115450132771492,0.031086959782826,0.349308431836633,0.526744637913082,0.220641476832275
"71","StepData.OverallMETClassIII.Percentage",0.263011859075549,0.133011113035209,0.0188106120000734,50,-0.208796783114896,-0.205866663018408,-0.0885355022178382,0.043596096639129,0.0423810829423346,0.00783853515296484,0.145623058839243,0.221555093125703,0.540929023741739
"72","StepData.OverallMETClassIII.PercentageAll",0.0096925658816479,0.00841715973368823,0.00119036614520426,50,-0.282049004513299,-0.243134876107795,-0.228836332688805,0.0795516409469429,0.059114567979953,0.0523660671584614,0.0472072237889192,0.147049405177929,0.10993576742835
"73","StepData.OverallMETClassIV.Percentage",0.733750490857629,0.134613356781897,0.0190372034837526,50,0.217326354832234,0.210797432301467,0.101456941174874,0.0472307445046659,0.0444355574648915,0.0102935109125618,0.129507766828111,0.210442186371407,0.483255694313798
"74","StepData.OverallMETClassIV.PercentageAll",0.0208260232314494,0.0180354537759036,0.00255059833334359,50,-0.238469644840993,-0.231700292542358,-0.275271309746118,0.0568677715105895,0.0536850255642142,0.0757742939693431,0.0953669099539831,0.167627911984953,0.0530159275352737
"75","StepData.StdDevActiveMinutes_PosMET",25.3695543860941,15.9771337960297,2.25950793021947,50,-0.311384805808409,-0.346048767562316,-0.239463064714248,0.0969604972883409,0.119749749531398,0.0573425593623403,0.0277235289682403,0.0359056285174875,0.0939540773713421
"76","StepData.StdDevActiveMinutes_Pure",72.211156011166,34.465248103374,4.87412212983451,50,-0.114583788509098,-0.342003090115109,-0.0680207561316317,0.0131294445890978,0.116966113648284,0.00462682326471891,0.428155736544973,0.0382783949507708,0.638813557264407
"77","StepData.StdDevDailyMaxSteps",24.2593249027679,12.0496607081308,1.70407935954327,50,-0.0418742385300881,-0.1746576736249,-0.00534187093562452,0.00175345185247472,0.0305053029560621,2.853558509287e-05,0.772785614160649,0.301177847029857,0.970630450844602
"78","StepData.StdDevDailyMeanSteps",1.68632860363822,0.87030474169595,0.123079676910403,50,-0.26119982169526,-0.385788003206509,-0.179356656197943,0.0682253468536356,0.148832383418065,0.0321688101225072,0.0669220165961273,0.0183627313521446,0.212653872370365
"79","StepData.StdDevDailyTotalSteps",2428.31318923903,1253.23882804217,177.23473475098,50,-0.261199821695262,-0.385788003206513,-0.179356656197948,0.0682253468536366,0.148832383418068,0.0321688101225088,0.0669220165961251,0.0183627313521433,0.212653872370353
"80","StepData.StdDevMETClass.BelowMin",25.3695543860941,15.9771337960297,2.25950793021947,50,-0.311384805808409,-0.346048767562316,-0.239463064714248,0.0969604972883409,0.119749749531398,0.0573425593623403,0.0277235289682403,0.0359056285174875,0.0939540773713421
"81","StepData.StdDevMETClassI",0.0118723367940933,0.0839500985563391,0.0118723367940933,50,-0.0935219529582825,-0.108407272597998,-0.0479894853106398,0.0087463556851312,0.0117521367521368,0.00230299070038011,0.518284502839568,0.523038010639135,0.740686132003612
"82","StepData.StdDevMETClassII",0.282658795368966,0.763960059368486,0.108040267707027,50,-0.165217627173821,-0.148509933492028,-0.183896389986268,0.0272968643289477,0.0220552003458066,0.0338178822499817,0.251539841642308,0.380364874055345,0.201112192536701
