"","NYHAClass","variable","mean","sd","sem","median","q1","q3","n"
"233","III","StepData.MinimumDailyMaximumSteps",34.6666666666667,32.0906454252563,8.285769020071,31,0,63.5,15
"235","II","StepData.StdDevDailyMaximumSteps",24.5863238738356,12.5715077234355,2.12497264816279,20.3602065730166,15.2083718050642,33.3122292365855,35
"236","III","StepData.StdDevDailyMaximumSteps",23.4963273036102,11.111742326432,2.86903953184129,25.3968501984006,12.8373864285958,32.6383166043007,15
"238","II","StepData.StdErrDailyMaximumSteps",6.07809384119164,2.9262627811002,0.494628687980108,4.88847040055914,4.05319616664647,8.02697206112283,35
"239","III","StepData.StdErrDailyMaximumSteps",5.83880164512061,2.61420004609359,0.674983549478342,6.27609153540271,3.31093709800173,8.03470784208485,15
"241","II","StepData.MaximumDailyQ3Steps",2.38571428571429,5.53874815210414,0.936219313324104,0,0,2.5,35
"242","III","StepData.MaximumDailyQ3Steps",1.86666666666667,3.41983012666391,0.882996341828515,0,0,2,15
"244","II","StepData.MeanDailyQ3Steps",0.380204081632653,0.885957989466674,0.149754232861696,0,0,0.160714285714286,35
"245","III","StepData.MeanDailyQ3Steps",0.250420168067227,0.641147913313374,0.165543679381222,0,0,0.142857142857143,15
"247","II","StepData.ModeDailyQ3Steps",0,0,0,0,0,0,35
"248","III","StepData.ModeDailyQ3Steps",0,0,0,0,0,0,15
"250","II","StepData.MinimumDailyQ3Steps",0,0,0,0,0,0,35
"251","III","StepData.MinimumDailyQ3Steps",0,0,0,0,0,0,15
"253","II","StepData.StdDevDailyQ3Steps",0.712471934906903,1.48165273751133,0.250445023027571,0,0,0.633630620956212,35
"254","III","StepData.StdDevDailyQ3Steps",0.589576990419688,1.17523264425092,0.303443763940209,0,0,0.53452248382485,15
"256","II","StepData.StdErrDailyQ3Steps",0.1775155876774,0.356432141417011,0.0602480281681166,0,0,0.160714285714286,35
"257","III","StepData.StdErrDailyQ3Steps",0.150923262766505,0.293612557010189,0.0758104362358557,0,0,0.142857142857143,15
"259","II","StepData.MaximumDailyMedianSteps",0,0,0,0,0,0,35
"260","III","StepData.MaximumDailyMedianSteps",0,0,0,0,0,0,15
"262","II","StepData.MeanDailyMedianSteps",0,0,0,0,0,0,35
"263","III","StepData.MeanDailyMedianSteps",0,0,0,0,0,0,15
"265","II","StepData.ModeDailyMedianSteps",0,0,0,0,0,0,35
"266","III","StepData.ModeDailyMedianSteps",0,0,0,0,0,0,15
"268","II","StepData.MinimumDailyMedianSteps",0,0,0,0,0,0,35
"269","III","StepData.MinimumDailyMedianSteps",0,0,0,0,0,0,15
"271","II","StepData.StdDevDailyMedianSteps",0,0,0,0,0,0,35
"272","III","StepData.StdDevDailyMedianSteps",0,0,0,0,0,0,15
"274","II","StepData.StdErrDailyMedianSteps",0,0,0,0,0,0,35
"275","III","StepData.StdErrDailyMedianSteps",0,0,0,0,0,0,15
"277","II","StepData.MaximumDailyMeanSteps",7.21767857142857,2.77840118792291,0.469635517063163,7.49444444444444,4.99201388888889,8.58576388888888,35
"278","III","StepData.MaximumDailyMeanSteps",5.31291666666666,2.86193942201629,0.738949581288239,4.1,3.42013888888888,6.93229166666667,15
"280","II","StepData.MeanDailyMeanSteps",3.80829155051569,1.54121999168032,0.260513726688255,3.97838541666667,2.72457602339181,4.98302331349206,35
"281","III","StepData.MeanDailyMeanSteps",2.78615427841458,1.57814737311481,0.407475899595644,2.45884259259259,1.6581958912037,3.98251488095238,15
"283","II","StepData.ModeDailyMeanSteps",2.5471626984127,2.44639551061003,0.413516314908162,1.62361111111111,0.760763888888889,4.12118055555556,35
"284","III","StepData.ModeDailyMeanSteps",1.46893518518518,1.40952744829554,0.363938422218057,1.60208333333333,0.0180555555555556,2.27083333333333,15
"286","II","StepData.MinimumDailyMeanSteps",0.837876984126984,1.13303546130967,0.191517948176832,0.291666666666667,0,1.43680555555556,35
"287","III","StepData.MinimumDailyMeanSteps",0.798101851851852,1.07379056164016,0.27725153083647,0.113888888888889,0,1.60208333333334,15
"289","II","StepData.StdDevDailyMeanSteps",1.83365103274126,0.873023111349791,0.147567839406721,1.78450616069935,1.18105737376101,2.22791582502458,35
"290","III","StepData.StdDevDailyMeanSteps",1.34257626906445,0.786865725530832,0.203167856712155,1.05060584983673,0.888013017909736,1.51168378536648,15
"292","II","StepData.StdErrDailyMeanSteps",0.461415445377261,0.211241890853288,0.0357063965663107,0.451540746546181,0.301137715524633,0.561397427418206,35
"293","III","StepData.StdErrDailyMeanSteps",0.339991331441104,0.203022229876638,0.0524201143481408,0.278977398217657,0.225578668566629,0.404014485855919,15
"295","II","StepData.MaximumDailyStdDevSteps",19.7179183459162,4.58542282244917,0.775077921624432,20.6183755854547,16.0870237127754,23.7330802788975,35
"296","III","StepData.MaximumDailyStdDevSteps",15.0942196901792,4.32053630246838,1.11555767640964,14.4870540503951,11.6091691616842,16.7340017249355,15
"298","II","StepData.MeanDailyStdDevSteps",11.9653479589071,3.55769721250626,0.60136058723709,12.0650160927159,9.51682992731288,14.1280288550099,35
"299","III","StepData.MeanDailyStdDevSteps",9.28802302757191,3.80098007941012,0.98140883645477,8.81449189111326,6.72831625609513,12.09342035303,15
"301","II","StepData.ModeDailyStdDevSteps",8.62766854723626,6.46684288079387,1.09309595507275,7.67811808432311,4.9197204215884,13.3412006416984,35
"302","III","StepData.ModeDailyStdDevSteps",6.14303653190635,5.06888408278679,1.30878024243261,7.52251080871732,0.61780682772396,10.084769687503,15
"304","II","StepData.MinimumDailyStdDevSteps",3.63022851837144,3.8132407418241,0.644555327451352,2.86498353333525,0,6.88190848616945,35
"305","III","StepData.MinimumDailyStdDevSteps",3.24257827463652,3.74283822397702,0.966396673934103,1.16329138805581,0,6.21148211198617,15
"307","II","StepData.StdDevDailyStdDevSteps",4.5832036734591,1.82478777746719,0.308445430820597,4.63008773795273,3.07804541748377,5.50282291862808,35
"308","III","StepData.StdDevDailyStdDevSteps",3.47457660604428,1.400197407112,0.361529415943172,3.36784977248105,2.44396083234541,4.69722480125895,15
"310","II","StepData.StdErrDailyStdDevSteps",1.14685135426205,0.427009449916398,0.0721777706812255,1.10786538341782,0.768991957398242,1.38055065347662,35
"311","III","StepData.StdErrDailyStdDevSteps",0.873359882235292,0.35155790383436,0.0907718604518711,0.900095712767762,0.632145633022077,1.18512620486625,15
